uid,area,outages,customers,percent_out,dt_stamp
Charles2024-09-05T01:00:35,Charles,90,72244,0.125,09/05/2024 01:00:35 AM
Dorchester2024-09-05T01:00:35,Dorchester,0,19928,0.000,09/05/2024 01:00:35 AM
Frederick2024-09-05T01:00:35,Frederick,1,116871,0.001,09/05/2024 01:00:35 AM
Garrett2024-09-05T01:00:35,Garrett,1,20396,0.005,09/05/2024 01:00:35 AM
Harford2024-09-05T01:00:35,Harford,0,114347,0.000,09/05/2024 01:00:35 AM
Howard2024-09-05T01:00:35,Howard,4,138196,0.003,09/05/2024 01:00:35 AM
Kent2024-09-05T01:00:35,Kent,0,12334,0.000,09/05/2024 01:00:35 AM
Montgomery2024-09-05T01:00:35,Montgomery,1,381561,0.000,09/05/2024 01:00:35 AM
Prince_George's2024-09-05T01:00:35,Prince George's,4,350986,0.001,09/05/2024 01:00:35 AM
Queen_Anne's2024-09-05T01:00:35,Queen Anne's,0,27627,0.000,09/05/2024 01:00:35 AM
Somerset2024-09-05T01:00:35,Somerset,0,11332,0.000,09/05/2024 01:00:35 AM
St._Mary's2024-09-05T01:00:35,St. Mary's,0,56237,0.000,09/05/2024 01:00:35 AM
Talbot2024-09-05T01:00:35,Talbot,0,23706,0.000,09/05/2024 01:00:35 AM
Washington2024-09-05T01:00:35,Washington,0,54026,0.000,09/05/2024 01:00:35 AM
Wicomico2024-09-05T01:00:35,Wicomico,0,50245,0.000,09/05/2024 01:00:35 AM
Worcester2024-09-05T01:00:35,Worcester,0,59063,0.000,09/05/2024 01:00:35 AM
Allegany2024-09-05T01:15:35,Allegany,0,37206,0.000,09/05/2024 01:15:35 AM
